Company,Ticker,Website,Industry,Founding_Year,Wikidata_ID,Extracted_Text
Applied Materials,AMAT,https://www.appliedmaterials.com/,,1967.0,Q621610,"Products & Technologies
Products & Technologies
Services
Resources
Products & Technologies
Services
Resources
Applied Materials to Participate at UBS Global Technology and AI Conference
Applied Materials Announces Fourth Quarter and Fiscal Year 2025 Results
Applied Materials to Report Fourth Quarter and Fiscal 2025 Results on Nov. 13, 2025
A New Chapter in the Applied Materials Brand"
AppLovin,APP,https://www.applovin.com/,software industry,2012.0,Q27150212,"We enable businesses to advertise profitably
Our suite of marketing technologies empowers businesses to acquire customers, monetize them, and measure the performance of their advertising efforts.
Founding principles
Our suite of marketing technologies empowers businesses to acquire customers, monetize them, and measure the performance of their advertising efforts.
Founding principles"
Arm Holdings,ARM,https://www.arm.com/,,1990.0,Q296782,"Building the Future of Computing on Arm. Together. For Everyone.
Arm provides the industry’s most efficient and highest-performing compute platform, with more than 325 billion Arm-based devices shipped to date. The world's biggest technology companies, including AWS, Microsoft, Google, Meta, NVIDIA and Samsung, are innovating on Arm, all with a shared purpose of meeting the insatiable compute demand required to deliver the unprecedented capabilities and experiences that AI promises. Together with the world’s largest computing ecosystem and over 22 million software developers, we are achieving the impossible from cloud to edge by building the AI experiences of the future for everyone.
The AI Platform for Everyone
AI growth from the edge to the cloud is fueling an unprecedented demand for power-efficient computing. Across industries, Arm technology is leading the future of powering this transformation. Our trusted compute platforms and solutions deliver the right combination of AI technologies, common software standards, and foundational hardware for computing from cloud to IoT, automotive to healthcare, and much more.
Arm is constantly pushing the thresholds of performance, enabling the next generation of smart, AI-capable, immersive, and increasingly autonomous experiences. We offer our partners unmatched flexibility in bringing innovative, specialized processing to products, while enabling differentiation where it truly matters.
“The Arm compute platform is the backbone of the modern digital world. Our technology leadership and unique business model have us well-positioned for future growth and to be the cornerstone of the AI experience.”
– Rene Haas, Arm CEO
Our Unique Advantage
Arm-based platforms are trusted, verified, and tested, and our success-based business model is designed to fuel innovation. As AI demands increase, purpose-built solutions are essential. Our advanced compute subsystems (CSS) enable our ecosystem to build solutions with more simplicity and a faster time to market across all industries. Discover more about the benefits of working with Arm technology, why our architecture is ideal for your next project, and how Arm makes it easy to work with our world-class platform solutions.
A Compute Platform With Unmatched Scale
100%
of the connected global population
uses Arm-based products
325B+
Arm-based chips shipped
to date
22M+
Software developers
on Arm
30+ Years of Innovation
Born more than 30 years ago with the goal of designing a computer intended to run on a battery, Arm has become a global compute platform delivering advanced solutions that allow the world’s leading technology companies to unleash the unprecedented experiences and capabilities of AI. Discover how the vision of 12 founding Arm members working out of a Cambridge barn changed the world in our recent blog on Arm’s global success.
Tech Unheard Podcast
Tech Unheard is a lively podcast series that lets you listen in on one-on-one conversations with Arm CEO, Rene H"
ASML Holding,ASML,https://www.asml.com/,semiconductor industry,1984.0,Q297879,KEIN_HAUPTINHALT_GEFUNDEN
AstraZeneca,AZN,http://www.astrazeneca.com/,pharmaceutical industry,1913.0,Q731938,KEIN_HAUPTINHALT_GEFUNDEN
Atlassian,TEAM,https://www.atlassian.com/,software industry,2002.0,Q757307,"Who we are
We help teams change the world
Behind every great human achievement, there is a team.
From medicine and space travel, to disaster response and pizza deliveries, our products help teams all over the planet advance humanity through the power of software.
Our mission is to help unleash the potential of every team through open work.
12,000+ Atlassians
Presence in 14 countries
300,000+ customers
1% donated of all profit, employee time, and equity
$132 million donated in Community licenses
5,700+ apps in our Marketplace
4.6M+ community members
2 planets with our software on them
A brief history
Armed with a credit card and a dream, two college friends, Mike Cannon-Brookes and Scott Farquhar set out to create Atlassian. In 2002, they didn't know what kind of company Atlassian was going to be, but they knew exactly what it shouldn't be—an environment where they had to conform rather than be who they authentically are.
Now 20 years in, we’ve grown into a global company with employees all over the world, but those early ambitions hold true. Here’s our story:
Mike and Scott, both 18, land in the same scholarship course at the University of New South Wales.
1998
Atlassian, inspired by the Greek Titan, is registered as a business name.
2001
Atlassian becomes real with the launch of Jira 1.0.
2002
Confluence 1.0 is born and released to the world.
2003
We get our 1,000th customer.
2005
We co-found Pledge 1% and Atlassian Foundation is created.
2006
Our five core values come to life.
Open company, no bullshit.
Build everything with heart and balance.
Don’t #@!% the customer.
Play as a team.
Be the change you seek.
2007
We open our first European office in Amsterdam.
2009
Atlassian ships first cloud versions of Confluence and Jira.
2011
Atlassian celebrates its 10th anniversary.
We hit $100 million dollars of revenue.
2012
We open offices in Yokohama and Manila.
Jira Service Desk (a former ShipIt project!) joins Atlassian's suite of tools.
2013
Atlassian goes public! We are listed on NASDAQ as TEAM.
2015
Trello joins our growing family of tools.
2017
Opsgenie joins our product family.
We opened our Bengaluru office.
2018
We launched Jira Service Management, the next generation of Jira Service Desk.
Atlassian announces TEAM Anywhere, a distributed work policy that allows employees to work from (almost) anywhere.
2020
Launched Jira Work Management.
2021
Celebrating 20 years!
2022
Introduced AI to Atlassian cloud platform.
Atlassian acquires Loom.
2023
Announced Rovo, our AI teammate.
Jira Software and Jira Work Management unite into Jira.
2024
Debut Strategy and Teamwork Collections.
2025
What we believe
Values to live by
Our unique values describe, at the most fundamental level, what we stand for. These five values shape our culture, influence who we are, what we do, and even who we hire. They're hard-wired into our DNA and will stay the same as we continue to grow.
Open company, no bullshit
Play, as a team
Build with heart and balance
Don’t #@!% the cu"
Autodesk,ADSK,https://www.autodesk.com/,software development,1982.0,Q628051,KEIN_HAUPTINHALT_GEFUNDEN
Automatic Data Processing,ADP,http://www.adp.com/,human resource management,1949.0,Q489080,"ADP — providing solutions that simplify work
Since our very beginnings, we’ve been at the forefront of payroll and HR innovation.
Today, as always, we're proud to design better ways to work, with people at the heart of everything we do.
Who we are
At ADP, what we do is about people. Although we have a strong history of providing solutions for human resource challenges, we strive to do more than that.
We challenge ourselves to anticipate, think forward and take action in a way that empowers us to shape the changing world of work.
For over 75 years, we’ve led the way in defining the future of business solutions. ADP is proud to be named the 2025 Fortune® World's Most Admired Companies™ list again for 19 consecutive years*.
What we do
We are a comprehensive global provider of cloud-based human capital management (HCM) solutions that unite HR, payroll, talent, time, tax and benefits administration and a leader in business outsourcing services, analytics and compliance expertise.
Our unmatched experience, deep insights and cutting-edge technology have transformed human resources from a back-office administrative function to a strategic business advantage.
Learn more about our philosophy, success factors and why companies work with ADP.
Our leadership
Meet the people who are leading the charge in designing better ways of working for businesses across the globe.
Learn MoreCorporate social responsibility
We are committed to unlocking potential – not only for our clients and their businesses, but in our people, our communities and society as a whole.
Our Company
Our Associates
Our Clients
Our Communities
Our World
Working with ADP
Our policies, procedures and procurement resources helped make us one of the 2025 Fortune® World’s Most Admired Companies™* 19 years in a row.
Learn about Supplier Diversity, Corporate Governance, Code of Ethics policies, and more.
Data security & privacy
We maintain the highest levels of data security and privacy, and educate and empower our clients to take measures to reduce risk.
Learn more about Data Security at ADP.
Learn more about Privacy at ADP.
Meet the team
ADP has partnered with the most exciting professional athletes. Our roster of accomplished competitors inspire us to perform at our best.
Whether on the field or in business, data and insights connect people to the things they care about. In sports, players rely on data to inform smarter decisions as they move from one maneuver to the next. And with data driven insights from ADP, our clients have the precise information they need today to have a competitive edge tomorrow.
Featured Awards & Industry Recognition
We're proud to be recognized for our work and values by esteemed organizations.
Seramount Leading Inclusion Index Company
2025
Seramount Best Company for Multicultural Women
2025
2016-2025
2025
* From Fortune. ©2025 Fortune Media IP Limited All rights reserved. Used under license. Fortune® is a registered trademark and Fortune World’s Most Admired Companies™ i"
Axon Enterprise,AXON,https://www.axon.com/,weapons industry,1993.0,Q690604,"Transforming Public Safety with Technology
Protect Life
Officers aren’t trained to shoot to kill. They are trained to stop a threat. They use the tools they are given, and often have less than a second to make life-or-death decisions. Let’s give them better tools and put the toughest decisions in the hands of the courts. One day the bullet will be obsolete. We’re working on a device that will out-perform the handgun in every situation and let the people on either side of the weapon go home safe at the end of the day.
Preserve Truth
We have the potential for more objective sources of truth than ever before. Footage from body camera, CCTV, drones, smartphones and vehicles. All centralized, redacted and shared with an iron-clad chain of custody. With video at the heart of the record, we’ll help enable better insights, transparency with our communities, and decision making.
Accelerate Justice
Officers spend up to 2/3rds of their shift doing paperwork. The technology exists today to remove this administrative burden. To streamline and automate the tedious, error-prone parts of an officer’s job. We’re building it into our agency tech stack, featuring Axon Records and Axon Evidence. These innovations will accelerate the path to justice, let officers go back to serving their communities and keep them nearby when we need them most.
Our Impact
Our
Impact
Let’s look at the numbers. We’re taking on some of society’s most difficult challenges. It’s controversial. But we’re driven by one clear goal: Protect life. The number that matters most is the estimate of lives saved. This represents the number of times lethal force was justified but not used because an officer used a TASER device to de-escalate the situation. We still have a lot to do, but we’re proud that officers have that choice.
Visit Us
Seattle
Scottsdale
Ho Chi Minh City
Tampere
Sydney
Amsterdam
London"
Baker Hughes,BKR,https://www.bakerhughes.com/,petroleum industry,1987.0,Q804353,"Who we are
We are an energy technology company. We understand the demands on energy. What it takes to produce it. How we make use of it. Why it’s essential to reduce its impact. Where we can change to achieve a sustainable balance.
For over a hundred years we have worked with our customers, understanding deeply. Reducing emissions. Innovating new technologies. Driving cleaner energy. Maximizing productivity, improving continuously, bringing digitally-powered optimization to energy and beyond. Taking energy forward.
We develop and deploy the most advanced technologies to serve energy and industrial companies looking for more efficient, more reliable and cleaner solutions. Our diverse portfolio of technologies and solutions are transforming how industry works today and in the future.
Our oilfield technology and services help you operate efficiently and predictably, ensuring that projects are executed right the first time and assets consistently perform at peak productivity. Our portfolio is enriched by digitalization, artificial intelligence and automation capabilities that enable remote operations, reduce risk, and drive decarbonization efforts.
Featured
As a leader in the LNG industry for the last 30 years, our broad suite of solutions provide greater efficiency and availability across LNG operations. From our best-in-class gas turbines to our power solutions, we provide critical technology for LNG projects.
Featured
Our industrial technologies improve efficiency for heavy and process industries. Our power generation solutions in the 5-20MW range, as well as our compression capabilities and digital solutions help serve industries to deliver better performance.
Featured
Our energy technology solutions are helping energy and industrial companies achieve their ambitions on the path to net zero. We are delivering the most efficent solutions today and investing in the future decarbonization of the energy system.
Featured
Our Industrial solutions combine technology, data, and automation to surface critical insights across asset, process, and sustainability performance. We empower customers to make data-driven decisions to reduce risk and failure, optimize process, and improve sustainability - enabling them to realize long- term value.
Featured
We deploy digital operations, monitoring and testing capabilities to securely serve critical industries around the world. Our customers benefit from better insights, improved safety, and lower operational costs with our wide range of remote operation solutions."
Biogen,BIIB,https://www.biogen.com/,pharmaceutical industry,1978.0,Q864338,"Founded in 1978, Biogen is a leading biotechnology company that pioneers innovative science to deliver new medicines to transform patients’ lives and to create value for shareholders and our communities. We apply deep understanding of human biology and leverage different modalities to advance first-in-class treatments or therapies that deliver superior outcomes. Our approach is to take bold risks, balanced with return on investment to deliver long-term growth."
Booking Holdings,BKNG,https://bookingholdings.com/,travel industry,1997.0,Q18674747,"Company statement - Booking Holdings
Home
About
Factsheet
Leadership
History
Media Room
Compliance & Ethics
Brands
Booking.com
Priceline
agoda
KAYAK
OpenTable
Rentalcars.com by Booking.com
Rocketmiles
FareHarbor
HotelsCombined
Cheapflights
momondo
Sustainability
Overview
Our Progress in 2024
For Investors
Overview
News
Events
Stock Information
Financials
Governance
Resources
Careers
ABOUT
CAREERS @ BOOKING HOLDINGS
LIFE @ BOOKING HOLDINGS
CAREERS @ OUR CENTERS OF EXCELLENCE
CAREERS @ OUR BRANDS
PRIVACY
Global View
Home
About
Factsheet
Leadership
History
Media Room
Compliance & Ethics
Brands
Booking.com
Priceline
agoda
KAYAK
OpenTable
Rentalcars.com by Booking.com
Rocketmiles
FareHarbor
HotelsCombined
Cheapflights
momondo
Sustainability
Overview
Our Progress in 2024
For Investors
Overview
News
Events
Stock Information
Financials
Governance
Resources
Careers
ABOUT
CAREERS @ BOOKING HOLDINGS
LIFE @ BOOKING HOLDINGS
CAREERS @ OUR CENTERS OF EXCELLENCE
CAREERS @ OUR BRANDS
PRIVACY
GLOBAL VIEW"
Broadcom,AVGO,https://www.broadcom.com/,semiconductor industry,1991.0,Q555925,KEIN_HAUPTINHALT_GEFUNDEN
Cadence Design Systems,CDNS,https://www.cadence.com/,software industry,1988.0,Q608776,KEIN_HAUPTINHALT_GEFUNDEN
CDW Corporation,CDW,http://www.cdw.com/,business-to-business,1984.0,Q1023155,"Amazing happens when your technology unlocks opportunities for all.
From pocket to cloud, Lenovo and CDW deliver solutions you trust. Empower your workforce with Lenovo and CDW. From cutting-edge devices to expert support, we deliver smarter solutions that help your business thrive.
Why Work with CDW?
We bring together the services and technologies that solve your business problems.
Expertise and Experience
Industry-Leading Partnerships
End-to-End Support
Industries we solve for:
- Enterprise
- Finance
- Government
- Retail
- Small Business
Nov 19, 2025
Security
Measuring the True Success of Your Vulnerability Management Program
Article
6 min
Are your vulnerability management efforts truly reducing risk or simply checking boxes? Learn to measure the success of your vulnerability management program with a tiered approach to metrics for operational, tactical and strategic insights.
Nov 07, 2025
Cloud
ServiceNow’s Contact Center as a Service Adds Ease to Customer Support
Article
4 min
Bringing CCaaS tooling into ServiceNow streamlines agent workflows and enables capabilities with artificial intelligence.
Nov 06, 2025
Data Analytics
Snowflake Intelligence: How to Build an Infrastructure for AI Success
Article
6 min
Discover essential strategies for building a robust AI infrastructure using Snowflake Intelligence. Explore best practices, key considerations and proven solutions for organizations seeking to drive AI success through scalable, secure data platforms.
Aug 25, 2025
Data Analytics
Better Data, More Effective AI: Why MVDG Makes Sense for Financial Services
Article
3 min
What is Minimum Viable Data Governance (MVDG)? How can it help AI projects succeed?
Aug 05, 2025
Services
A New Era of Digital Banking Powered by AI Technology
Article
5 min
Digital transformation has taken the banking journey from the file cabinet to the mainframe and ultimately to the cloud. How will AI impact digital banking’s next age, and how can businesses stay ahead of the curve without risking project failure?
May 30, 2025
Cloud
CDW Enables Financial SaaS Provider to Scale With Hybrid Multicloud
Case Study
0 min
Find out how CDW helped a client to migrate and modernize their software stack to Google Cloud, reducing their provisioning time for new capacity from months to hours.
Oct 02, 2025
Cloud
How the VMware Acquisition Has Affected the Public Sector
Article
4 min
Agencies dealing with major changes in their hypervisor software should consider a move to the cloud.
Sep 29, 2025
Services
Creating a Better Online Experience for a State Agency
Use Case
3 min
See how one state agency partnered with CDW Government to redesign its public website, creating an accessible, citizen-focused platform that builds trust and expands access to justice.
Sep 26, 2025
Services
Reduce Waste and Transform IT Asset Management for State and Local Governments
Article
4 min
Discover how intelligent platforms automate tracking, optimize resources and keep critical systems running without interr"
Charter Communications,CHTR,,,,Q16910938,URL_UNGÜLTIG
Cintas,CTAS,,,,Q36951779,URL_UNGÜLTIG
Cisco,CSCO,https://www.cisco.com/,telecommunications,1984.0,Q173395,"Power AI at the edge by bringing compute, networking, and security where your data originates and customer engagement thrives. Unlock seamless, real-time experiences and new value with Cisco.
From AI PODs for inferencing and training to fully managed Hyperfabric AI stacks, learn how Cisco and NVIDIA are accelerating AI adoption for the enterprise."
Coca-Cola Europacific Partners,CCEP,https://www.cocacolaep.com/,beverage industry,2015.0,Q20811256,KEIN_HAUPTINHALT_GEFUNDEN
Cognizant,CTSH,https://www.cognizant.com,IT service management,1994.0,Q1107035,"Cognizant Deutschland
Erfahren Sie wie Cognizant Ihr modernes Unternehmen entwickelt.
Erfahren Sie mehr über branchenspezifische Lösungen und Know-how.
Mit Belcan können Sie sich den schwierigsten Herausforderungen in F&E stellen.
Fördern Sie Ihr Unternehmen durch Spitzenleistung und Effizienz.
Gestalten Sie Ihren Wettbewerbsvorteil in der Fertigung neu.
Beschleunigen Sie das Wachstum mit kundenorientierten Lösungen.
Beschleunigen Sie die Transformation in der Automobilindustrie mit skalierbaren IT-Lösungen und der Bereitstellung generativer KI.
Personalisieren Sie Lernerfahrungen mit Bildungstechnologie und IT-Lösungen, die Lernenden das Gefühl geben, wertgeschätzt zu werden.
Verbessern Sie die Effizienz und Nachhaltigkeit mit Technologien, die die blaue Wirtschaft voranbringen.
Unsere digitalen Lösungen ermöglichen es Ihnen, Geschäftsentscheidungen auf der Grundlage von kontextbezogenen Echtzeitdaten zu treffen.
Entdecken Sie Lösungen, die die Versorgung von Millionen von Patienten verbessern und vereinheitlichen.
Entwickeln Sie Strategien für Produkt-, Service- und Prozessinnovationen, die neues Wachstum bewirken.
Vertiefen Sie die Kundenbindung, fördern Sie langfristige Beziehungen und steigern Sie die Rentabilität.
Unsere Daten- und KI-Lösungen sind auf Ihre Geschäftsergebnisse abgestimmt und sorgen für wirkungsvolle Ergebnisse.
Bauen Sie Ihre digitale Kultur mit Lösungen auf, die die Verbindung zu Ihrer Kundschaft aufrechterhalten.
Stellen Sie sich der digitalen Transformation, um ein intelligenteres, agileres und besonders leistungsfähiges Unternehmen aufzubauen.
Bieten Sie mehr Energieoptionen an, senken Sie die Kosten und steigern Sie die Kundenzufriedenheit.
Entwickeln Sie eine digitale Strategie, die Kunden zufrieden stellt und Kosten senkt.
Mit den neuesten Technologien wie IoT, maschinellem Lernen und Blockchain bleiben Sie der Konkurrenz einen Schritt voraus.
Erfüllen Sie die Anforderungen der Kunden an ein digitales, personalisiertes Online-Versicherungserlebnis, und reduzieren Sie gleichzeitig die damit verbundenen Risiken.
Vertiefen Sie Ihr Branchen-Know-how, um Ihr Unternehmen sicher in die Zukunft zu führen.
Entdecken Sie die flexiblen, maßgeschneiderten Lösungen von Belcan.
Lassen Sie KI für sich arbeiten und machen Sie aus Möglichkeiten echten Mehrwert.
Schnellere Wertschöpfung für KI in dezentralen Datenumgebungen.
Bewahren Sie eine hohe Integrität über den gesamten KI-Lebenszyklus hinweg.
Beginnen Sie das nächste Kapitel der Unternehmensleistung.
Verbessern Sie den Betrieb, erhöhen Sie die Effizienz, beseitigen Sie technische Hürden und modernisieren Sie Anwendungen für die Zukunft.
Verbinden Sie Ihre Prozesse, Mitarbeitende und Erkenntnisse im gesamten Unternehmen mit KI-fähiger IPA.
Sicherheitslösungen der nächsten Generation für erweiterten Schutz vor neuen Bedrohungen.
Stellen Sie KI in den Mittelpunkt Ihres Unternehmens, um Innovation und Wachstum zu ermöglichen.
Arbeiten Sie mit KI-gestützten Prozessen, die die Leistu"
Comcast,CMCSA,http://corporate.comcast.com,telecommunications,1963.0,Q1113804,KEIN_HAUPTINHALT_GEFUNDEN
